Release_Date,Movie_Title,Production_Budget,Domestic_Gross,Worldwide_Gross
2015-12-06,Inside Out,175000000,356461711,853641066
2017-05-07,Spider-Man: Homecoming,175000000,334201140,880166350
2016-02-08,Suicide Squad,175000000,325100054,745744980
2009-05-28,Up,175000000,293004164,731463377
2017-10-27,Coco,175000000,210460015,797666425
2018-11-21,Ralph Breaks The Internet,175000000,201091711,529290830
2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380
2017-06-16,Cars 3,175000000,152901115,383541369
2009-07-08,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
1999-06-30,Wild Wild West,175000000,113805681,221229335
2008-01-08,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
2007-06-22,Evan Almighty,175000000,100289690,174131329
1995-07-28,Waterworld,175000000,88246220,264246220
2020-08-01,Dolittle,175000000,77047065,251409960
2017-11-05,King Arthur: Legend of the Sword,175000000,39175066,139630336
2013-06-12,47 Ronin,175000000,38362475,151716815
2018-06-06,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005
2014-07-31,Guardians of the Galaxy,170000000,333714112,770882395
2010-07-05,Iron Man 2,170000000,312433331,621156389
2014-03-28,Captain America: The Winter Soldier,170000000,259746958,714401889
2014-09-07,Dawn of the Planet of the Apes,170000000,208545589,710644566
2004-10-11,The Polar Express,170000000,188578855,312719437
2012-05-30,Snow White and the Huntsman,170000000,155136755,401021746
2003-01-07,Terminator 3: Rise of the Machines,170000000,150358296,433058296
2004-05-05,Van Helsing,170000000,120150546,300150546
2019-03-27,Dumbo,170000000,114766307,353166307
2019-05-29,Godzilla: King of the Monsters,170000000,110500138,383299915
2015-05-20,Tomorrowland,170000000,93436322,206627518
2019-01-02,Alita: Battle Angel,170000000,85838210,401900040
2016-05-20,Alice Through the Looking Glass,170000000,77042381,276928112
2010-05-21,Shrek Forever After,165000000,238736787,756244673
2016-10-24,Doctor Strange,165000000,232641920,676354481
2014-10-25,Big Hero 6,165000000,222527828,649657407
2010-03-26,How to Train Your Dragon,165000000,217581232,494870992
2012-01-11,Wreck-It Ralph,165000000,189412677,496511521
2014-05-11,Interstellar,165000000,188017894,651994868
2016-06-22,Independence Day: Resurgence,165000000,103144286,384169424
2011-07-29,Cowboys and Aliens,163000000,100368560,176038324
2019-06-27,Spider-Man: Far From Home,160000000,390532085,1131113066
2018-06-12,Aquaman,160000000,335061807,1143758700
2007-05-17,Shrek the Third,160000000,322719944,807330936
2010-07-16,Inception,160000000,292576195,728582465
2015-11-18,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787
2013-05-17,Fast and Furious 6,160000000,238679850,789300444
2011-03-06,X-Men: First Class,160000000,146408305,355408305
2008-12-25,The Curious Case of Benjamin Button,160000000,127509326,329631958
2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320
2006-12-05,Poseidon,160000000,60674817,181674817
2016-05-25,Warcraft,160000000,47365290,438899824
2019-01-11,The Irishman,159000000,0,910234
2016-09-29,Deepwater Horizon,156000000,61433527,122603824
2010-10-12,The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,418186950
2021-03-25,Godzilla vs. Kong,155000000,100563133,467826620
2015-06-24,Terminator: Genisys,155000000,89760956,432150894
2018-03-16,Pacific Rim: Uprising,155000000,59874525,290930148
2004-11-24,Alexander,155000000,34297191,167297191
2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267
2001-05-25,Pearl Harbor,151500000,198539855,449239853
2007-02-07,Transformers,151000000,319246193,708272592
2019-11-20,Frozen II,150000000,477373578,1445182280
2017-05-29,Wonder Woman,150000000,412563408,818058221
2013-11-22,Frozen,150000000,400953009,1265767173
2016-10-02,Zootopia,150000000,341268248,1004629935
2007-11-07,Harry Potter and the Order of the Phoenix,150000000,292137260,940043931
2005-11-18,Harry Potter and the Goblet of Fire,150000000,290201752,887070413
2003-05-15,The Matrix Reloaded,150000000,281553689,738576929
2007-12-14,I am Legend,150000000,256393010,585532684
2016-01-27,Moana,150000000,248757044,634965560
2008-01-07,Hancock,150000000,227946274,624234272
2021-01-09,Shang-Chi and the Legend of the Ten Rings,150000000,224543292,418148439
2005-07-15,Charlie and the Chocolate Factory,150000000,206459076,475825484
2007-06-29,Ratatouille,150000000,206445654,626549695
2013-10-30,Thor: The Dark World,150000000,206362140,644602516
2005-06-15,Batman Begins,150000000,205343774,358858124
2015-07-29,Mission: Impossible—Rogue Nation,150000000,195042377,688858992
2017-07-18,Dunkirk,150000000,190068280,519452014
2011-04-29,Thor,150000000,181030624,449326618
2008-07-11,Madagascar: Escape 2 Africa,150000000,180174880,599680774
2009-01-05,X-Men Origins: Wolverine,150000000,179883157,374825760
2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547
2015-05-14,Mad Max: Fury Road,150000000,153636354,367457874
2019-03-05,Pokémon: Detective Pikachu,150000000,144105346,431482976
2003-05-11,The Matrix Revolutions,150000000,139270910,427300260
2018-03-20,Ready Player One,150000000,137690172,579055653
2005-04-11,Chicken Little,150000000,135386665,310043823
2006-05-05,Mission: Impossible III,150000000,133501348,399387745
2009-05-15,Angels & Demons,150000000,133375846,490875846
2004-05-13,Troy,150000000,133298577,483152040
2010-01-07,The Last Airbender,150000000,131772187,319713881
2007-02-11,Bee Movie,150000000,126631277,287594577
2009-07-24,G-Force,150000000,119436770,292817841
2008-11-21,Bolt,150000000,114053579,328015029
2012-03-28,Wrath of the Titans,150000000,83670083,305270083
2007-11-16,Beowulf,150000000,82280579,195080579
2012-09-05,Dark Shadows,150000000,79727149,238202668
2013-06-28,White House Down,150000000,73103784,205440387
2021-07-14,Space Jam: A New Legacy,150000000,70528072,144032083
2010-12-02,The Wolfman,150000000,62189884,142634358
2016-12-15,The Great Wall,150000000,45157105,334486852
2015-09-25,Pan,150000000,35088320,151525973
2011-11-03,Mars Needs Moms,150000000,21392758,39549758
2021-04-11,Red Notice,150000000,0,173638
2022-03-02,Moonfall,150000000,0,0
2006-03-11,Flushed Away,149000000,64665672,179357126
2012-08-06,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271
2011-12-14,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230
2014-05-06,How to Train Your Dragon 2,145000000,177002924,614586270
1999-06-16,Tarzan,145000000,171091819,448191819
2014-02-20,Mr. Peabody & Sherman,145000000,111506430,269806430
2012-11-20,Rise of the Guardians,145000000,103412758,306900902
2005-08-04,Sahara,145000000,68671925,121645390
2002-11-22,Die Another Day,142000000,160942139,431942139
2003-09-07,Pirates of the Caribbean: The Curse of the Blac…,140000000,305410819,654310819
2009-08-05,Star Trek,140000000,257730019,386839614
1998-01-07,Armageddon,140000000,201578182,554600000
2002-03-07,Men in Black 2,140000000,190418803,441767803
2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776
2016-01-23,Kung Fu Panda 3,140000000,143528619,521170825
1998-10-07,Lethal Weapon 4,140000000,130444603,285400000
2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705
2003-05-12,The Last Samurai,140000000,111110575,456810575
2005-12-21,Fun With Dick And Jane,140000000,110550000,203018919
2014-05-12,Exodus: Gods and Kings,140000000,65014513,268314513
2016-06-30,The BFG,140000000,55483770,199646680
2019-03-10,Gemini Man,140000000,48546770,166623705
2016-02-24,Gods of Egypt,140000000,31153464,138836756
2022-05-27,Top Gun: Maverick,140000000,0,0
2002-03-05,Spider-Man,139000000,403706375,821706375
2009-06-03,Watchmen,138000000,107509799,186976250
2005-07-29,Stealth,138000000,32116746,76416746
2008-06-13,The Incredible Hulk,137500000,134806913,265573859
2003-06-20,Hulk,137000000,132177234,245031679
2001-11-07,Final Fantasy: The Spirits Within,137000000,32131830,85131830
2012-11-14,The Twilight Saga: Breaking Dawn Part 2,136200000,292324737,829724737
2013-03-15,The Croods,135000000,187168425,573068425
2015-12-25,The Revenant,135000000,183637894,532938302
1999-11-19,The World is Not Enough,135000000,126930660,361730660
2011-04-03,Rango,135000000,123477607,245724600
2003-11-14,Master and Commander: The Far Side of the World,135000000,93926386,212912137
2013-07-17,Turbo,135000000,83028130,286896578
2016-02-06,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374
2011-11-18,Happy Feet Two,135000000,64006466,157956466
2006-07-28,Miami Vice,135000000,63478838,164920076
2018-10-31,The Nutcracker and the Four Realms,132900000,54858851,170024300
2005-06-24,War of the Worlds,132000000,234280354,606836535
2014-11-26,Penguins of Madagascar,132000000,83350911,366942531
2013-11-15,The Hunger Games: Catching Fire,130000000,424668047,864868047
2004-05-31,Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708
2007-03-08,The Bourne Ultimatum,130000000,227471070,444043396
2018-03-07,Ant-Man and the Wasp,130000000,216648740,623144660
2008-06-06,Kung Fu Panda,130000000,215434591,631910531
2015-07-14,Ant-Man,130000000,180202163,518858449
2018-12-19,Mary Poppins Returns,130000000,171958438,348901032
2011-10-28,Puss in Boots,130000000,149260504,554987477
2010-05-11,Megamind,130000000,148415853,321887208
2003-07-18,Bad Boys II,130000000,138540870,273271982
2014-03-20,Rio 2,130000000,131538435,492846291
2010-07-23,Salt,130000000,118311368,290650494
2014-03-27,Noah,130000000,101200044,352831065
2011-10-28,The Adventures of Tintin,130000000,77591831,373993951
2013-05-31,After Earth,130000000,60522097,251499665
2008-11-26,Australia,130000000,49554002,215080810
2013-07-19,R.I.P.D.,130000000,33618855,79076678
2019-03-01,How to Train Your Dragon: The Hidden World,129000000,160799505,522747474
2011-11-18,The Twilight Saga: Breaking Dawn Part 1,127500000,281287133,689420051
2000-05-19,Dinosaur,127500000,137748063,356148063
2017-02-23,Logan,127000000,226277068,614202315
2014-12-18,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621
2011-07-13,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1333857729
2014-11-19,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131
2001-11-15,Harry Potter and the Sorcerer’s Stone,125000000,317871467,965054122
2019-04-12,Jumanji: The Next Level,125000000,316831246,798332900
2010-11-17,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,955371891
2006-05-19,The Da Vinci Code,125000000,217536138,767820459
2003-04-30,X-Men 2,125000000,214949694,406348630
2011-04-21,Fast Five,125000000,210031325,630163454
2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443
2004-05-27,The Day After Tomorrow,125000000,186740799,555840117
2017-03-17,The Boss Baby,125000000,175003033,527965936
2016-12-10,Trolls,125000000,153707064,343242613
2012-05-30,Prometheus,125000000,126477084,402448265
2012-10-08,The Bourne Legacy,125000000,113203870,280355920
1997-06-20,Batman & Robin,125000000,107325195,238317814
2018-05-07,Skyscraper,125000000,68420120,304868961
2020-03-01,The Call of the Wild,125000000,62342368,107360936
2016-12-21,Assassin’s Creed,125000000,54647948,240759682
2016-12-29,Monster Trucks,125000000,33370166,61642798
1999-08-27,The 13th Warrior,125000000,32698899,61698899
2000-11-17,How the Grinch Stole Christmas,123000000,260348825,345445403
2000-05-24,Mission: Impossible 2,120000000,215409889,549588516
2000-06-30,The Perfect Storm,120000000,182618434,328711434
2016-07-20,Jason Bourne,120000000,162192920,416168316
2007-06-15,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,289480691
2012-11-21,Life of Pi,120000000,124987022,619310368
2007-02-16,Ghost Rider,120000000,115802596,229545589
2018-09-04,Rampage,120000000,101028233,427947217
2003-06-27,Charlie's Angels: Full Throttle,120000000,100814328,227163273
2013-09-08,Elysium,120000000,93050117,286192091
2013-04-19,Oblivion,120000000,89107235,287916633
2017-03-24,Power Rangers,120000000,85364450,142531552
2002-07-19,Stuart Little 2,120000000,64956806,166000000
2004-11-06,The Chronicles of Riddick,120000000,57712751,107212751
2015-05-08,The Fantastic Four,120000000,56117548,167849187
2008-09-05,Speed Racer,120000000,43945766,93394462
2010-12-17,How Do You Know?,120000000,30212620,49628177
2010-06-23,Knight and Day,117000000,76423035,258751370
2021-01-25,Tang Ren Jie Tan An 3,117000000,0,699084069
1999-05-19,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677
2005-05-19,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877
2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615
2001-02-11,Monsters Inc.,115000000,290149425,560483719
2013-07-26,The Wolverine,115000000,132556852,416456852
1997-07-02,Dante’s Peak,115000000,67163857,178200000
2016-06-04,The Huntsman: Winter’s War,115000000,48003015,165149302
2002-06-14,Windtalkers,115000000,40914068,77628265
2008-04-07,Astérix aux Jeux Olympiques,113500000,999811,132999811
2010-12-24,Gulliver's Travels,112000000,42779261,232017848
2017-08-12,Ferdinand,111000000,84410380,289838913
2018-11-05,Deadpool 2,110000000,324591735,786362370
2013-03-10,Gravity,110000000,274092705,688214291
2006-12-22,Night at the Museum,110000000,250863268,579446407
2021-09-30,Venom: Let There be Carnage,110000000,211047187,482241132
2005-10-06,Mr. and Mrs. Smith,110000000,186336279,486124090
2015-05-27,San Andreas,110000000,155190832,456258539
2011-07-29,The Smurfs,110000000,142614158,563749323
2007-06-27,Live Free or Die Hard,110000000,134529403,382288147
2015-03-18,The Divergent Series: Insurgent,110000000,130179072,295075882
2004-10-12,Ocean's Twelve,110000000,125531634,362989076
1997-12-19,Tomorrow Never Dies,110000000,125304276,339504276
2000-06-28,The Patriot,110000000,113330342,215300000
2014-07-03,300: Rise of an Empire,110000000,106580051,330780051
2004-12-17,The Aviator,110000000,102608827,208370892
2016-12-21,Passengers,110000000,100014699,302239672
2011-01-14,The Green Hornet,110000000,98780042,229155503
2016-09-21,Miss Peregrine’s Home for Peculiar Children,110000000,87242834,295986876
2011-07-10,Real Steel,110000000,85463309,263880341
2019-12-06,Men in Black: International,110000000,80001807,253020464
2010-11-06,The A-Team,110000000,77222099,177241171
2013-07-31,The Smurfs 2,110000000,71017784,348547523
2016-09-03,The Divergent Series: Allegiant,110000000,66184051,172022517
2009-12-06,The Taking of Pelham 123,110000000,65452312,152364370
2013-10-25,Ender's Game,110000000,61737191,127983283
2004-02-04,Home on the Range,110000000,50026353,76482461
1997-06-13,Speed 2: Cruise Control,110000000,48097081,150468000
